timestamp,ticker,open,high,low,close,volume
2025-11-17 09:30:00,AAPL,271.45,272.07,270.77,270.88,1416
2025-11-17 09:31:00,AAPL,269.12,269.38,269.0,269.24,3812
2025-11-17 09:32:00,AAPL,270.36,271.24,270.22,270.86,3046
2025-11-17 09:33:00,AAPL,269.47,269.61,268.77,269.28,2090
2025-11-17 09:34:00,AAPL,269.17,269.79,269.02,269.32,2035
2025-11-17 09:35:00,AAPL,270.3,271.18,270.03,270.23,3230
2025-11-17 09:36:00,AAPL,270.61,270.9,269.68,270.45,1676
2025-11-17 09:37:00,AAPL,269.73,270.36,268.8,269.52,3598
2025-11-17 09:38:00,AAPL,270.17,270.9,269.94,270.72,3864
2025-11-17 09:39:00,AAPL,270.45,271.18,269.47,270.7,3020
2025-11-17 09:40:00,AAPL,269.9,270.23,269.14,270.04,3012
2025-11-17 09:41:00,AAPL,270.16,270.36,269.69,270.32,1682
2025-11-17 09:42:00,AAPL,270.17,270.78,269.43,269.53,3491
2025-11-17 09:43:00,AAPL,267.37,267.56,266.71,266.95,1544
2025-11-17 09:44:00,AAPL,266.9,267.15,266.02,266.23,3982
2025-11-17 09:45:00,AAPL,267.69,268.39,267.63,268.13,3799
2025-11-17 09:46:00,AAPL,268.44,268.61,268.03,268.43,503
2025-11-17 09:47:00,AAPL,268.75,269.07,267.93,268.39,746
2025-11-17 09:48:00,AAPL,269.78,270.05,269.55,269.62,4940
2025-11-17 09:49:00,AAPL,269.12,269.75,268.7,269.58,4686
2025-11-17 09:50:00,AAPL,271.16,271.77,270.73,271.13,1438
2025-11-17 09:51:00,AAPL,270.91,271.09,270.15,270.36,4685
2025-11-17 09:52:00,AAPL,270.76,271.43,270.25,271.1,1340
2025-11-17 09:53:00,AAPL,269.07,269.41,268.11,268.23,1692
2025-11-17 09:54:00,AAPL,265.54,266.07,265.14,265.69,3255
2025-11-17 09:55:00,AAPL,266.07,266.87,265.28,265.37,542
2025-11-17 09:56:00,AAPL,266.84,266.92,266.58,266.82,1573
2025-11-17 09:57:00,AAPL,267.26,268.16,267.03,267.27,4886
2025-11-17 09:58:00,AAPL,267.04,267.32,266.25,266.92,739
2025-11-17 09:59:00,AAPL,268.35,269.13,268.33,268.49,2315
